City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Samarai,PG,78.48,overcast clouds,-10.6167,150.6667,Nuli Sapi
6,Kapaa,US,82.38,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
7,Kavieng,PG,83.77,light rain,-2.5744,150.7967,Nusa Island Retreat
9,Boa Vista,BR,78.78,few clouds,2.8197,-60.6733,Aipana Plaza Hotel
21,Ormara,PK,81.73,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
27,Souillac,MU,75.36,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
29,Butaritari,KI,82.51,few clouds,3.0707,172.7902,Isles Sunset Lodge
30,Georgetown,MY,87.73,few clouds,5.4112,100.3354,Cititel Penang
32,Airai,TL,77.99,scattered clouds,-8.9266,125.4092,Juvinal Martin
35,Ambon,ID,80.74,moderate rain,-3.6954,128.1814,Swiss-Belhotel Ambon
42,Kahului,US,80.62,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
43,Tursunzoda,TJ,76.08,clear sky,38.5144,68.2333,Stoyanka Charli
50,Hami,CN,77.81,scattered clouds,42.8,93.45,Laoyutang Resort
53,Noumea,NC,75.18,clear sky,-22.2763,166.4572,Hôtel Le Lagon
55,Avarua,CK,77.05,few clouds,-21.2078,-159.775,Paradise Inn
56,Bambous Virieux,MU,75.22,few clouds,-20.3428,57.7575,Casa Tia Villa
59,Culasi,PH,82.47,overcast clouds,11.4272,122.056,LS Suites
61,Hithadhoo,MV,82.08,overcast clouds,-0.6,73.0833,Scoop Guest House
65,Lorengau,PG,85.15,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
66,Xushan,CN,80.37,clear sky,30.1764,121.2457,Hangzhou Bay Hotel
70,Vaini,TO,76.84,light rain,-21.2,-175.2,Keleti Beach Resort
71,Mae Ramat,TH,87.4,broken clouds,16.984,98.5166,บ้านโฮ่งโฮมสเตย์ แม่ระมาด ตาก
74,Acapulco,MX,79.75,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
75,Sabang,ID,83.01,broken clouds,5.8933,95.3214,Hotel Citra
81,Bengkulu,ID,86.92,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
83,Atuona,PF,78.12,clear sky,-9.8,-139.0333,Villa Enata
87,Wanning,CN,87.19,broken clouds,18.8003,110.3967,Paradise Hotel
89,Atar,MR,85.28,overcast clouds,20.5169,-13.0499,Oumou Elghoura
91,Pringsewu,ID,88.16,scattered clouds,-5.3582,104.9744,Urban Style by Front One
92,Faanui,PF,78.53,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
100,Hobyo,SO,78.71,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
103,Kushima,JP,87.39,clear sky,31.4583,131.2333,Hanaoka
105,Buluang,PH,85.96,overcast clouds,13.3068,123.3425,Enon Beach Resort
106,Mahebourg,MU,75.25,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
114,Aksu,CN,77.65,clear sky,41.1231,80.2644,Pudong Holiday Hotel
115,Mandera,KE,76.17,few clouds,3.9366,41.867,Kornesh Hotel and Lodging
119,Grand Gaube,MU,75.38,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
121,Biltine,TD,76.78,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
128,Majene,ID,86.38,few clouds,-3.5403,118.9707,Kost Putri RABBANI
139,Rincon,US,77.86,mist,32.296,-81.2354,Days Inn Rincon
143,Sao Felix Do Xingu,BR,75.06,scattered clouds,-6.6447,-51.995,Rio Xingu Camping
149,Vanimo,PG,86.27,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
160,Salalah,OM,82.49,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
164,Komsomolskiy,UZ,79.52,clear sky,40.4272,71.7189,Ikathouse
165,Atambua,ID,87.93,broken clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
169,Zhangye,CN,75.96,scattered clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
171,Ixtapa,MX,77.23,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
173,Sao Filipe,CV,77.9,broken clouds,14.8961,-24.4956,Hotel Xaguate
177,Abaetetuba,BR,75.24,few clouds,-1.7181,-48.8825,Hotel Joanayna
178,Nelson Bay,AU,81.75,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
181,El Tigre,VE,75.06,scattered clouds,8.8875,-64.2454,Hotel Santa Cruz
184,Lao Cai,VN,86.72,overcast clouds,22.4833,103.95,Legend Hotel
189,Meadow Lake,US,76.71,clear sky,34.8014,-106.5436,TumbleWeed RV Park
190,Fukue,JP,75.79,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
192,Zhob,PK,80.31,clear sky,31.3411,69.4481,ROOM # 105 DUBAI HOTEL ZHOB
193,Karratha,AU,85.21,clear sky,-20.7377,116.8463,ibis Styles Karratha
200,Campo Maior,BR,77.94,broken clouds,-4.8278,-42.1686,Elite Hotel
202,Dingle,PH,85.41,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
206,Bodden Town,KY,83.93,clear sky,19.2833,-81.25,Will T Place
210,Lazaro Cardenas,MX,78.04,broken clouds,17.9583,-102.2,quinta antigua
213,Bardiyah,LY,75.18,clear sky,31.7561,25.0865,بورتو بردية
214,San Antonio,US,86.45,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
224,Bacolod,PH,84.02,overcast clouds,10.6667,122.95,Planta Hotel & Residences
231,Marakkanam,IN,80.94,overcast clouds,12.2,79.95,OYO 73765 Ocean Breeze Guest House
241,Hilo,US,79.29,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
246,Xapuri,BR,81.14,overcast clouds,-10.6517,-68.5044,Pousada dos Chapurys
249,Ravar,IR,84.11,clear sky,31.2656,56.8055,کافی نت و کامپیوترپرشین سیستم
251,Cairns,AU,82.35,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
253,Havelock,US,75.2,scattered clouds,34.8791,-76.9013,Sherwood Motel
262,Puerto Escondido,MX,80.11,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
265,Urumqi,CN,79.75,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
268,Nhulunbuy,AU,83.01,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
272,Tongren,CN,82.13,overcast clouds,27.7172,109.1853,Fanjing Mountain International Conference Center
275,Teknaf,BD,78.17,overcast clouds,20.8624,92.3058,Forestry Guesthouse
279,Harper,LR,76.01,light rain,4.375,-7.7169,Screensaver
280,Touros,BR,76.1,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
282,Tolga,DZ,80.04,scattered clouds,34.7222,5.3785,سجن طولقة
284,Madison,US,75.45,overcast clouds,34.7334,-86.5667,Embassy Suites by Hilton Huntsville Hotel & Spa
285,Quatre Cocos,MU,75.09,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
294,Russell,US,76.71,overcast clouds,32.3502,-85.1999,Macs
300,Tuburan,PH,83.12,broken clouds,6.6439,122.2736,GT Site
303,Carutapera,BR,76.75,clear sky,-1.195,-46.02,Lidera
305,Singkang,MY,89.92,scattered clouds,2.1006,102.7994,Kampung Seri Makmor Pagoh
