City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,East London,ZA,-33.0153,27.9116,56.55,59,51,3.09,broken clouds
1,Albany,US,42.6001,-73.9662,67.15,92,92,3.2,overcast clouds
2,Mataura,NZ,-46.1927,168.8643,53.47,45,13,2.15,few clouds
3,Port Elizabeth,ZA,-33.918,25.5701,46.09,75,21,6.35,few clouds
4,Samarai,PG,-10.6167,150.6667,78.48,84,100,19.01,overcast clouds
5,Lovozero,RU,68.005,35.0117,38.77,93,100,4.21,overcast clouds
6,Kapaa,US,22.0752,-159.319,82.38,71,97,5.01,overcast clouds
7,Kavieng,PG,-2.5744,150.7967,83.77,76,32,14.23,light rain
8,Lompoc,US,34.6391,-120.4579,60.01,83,1,3.44,clear sky
9,Boa Vista,BR,2.8197,-60.6733,78.78,78,20,3.44,few clouds
10,Khatanga,RU,71.9667,102.5,35.64,62,13,12.41,few clouds
11,Athabasca,CA,54.7169,-113.2854,45.55,44,99,5.59,overcast clouds
12,Rikitea,PF,-23.1203,-134.9692,71.37,80,99,10.09,light rain
13,Provideniya,RU,64.3833,-173.3,43.52,67,85,10.38,overcast clouds
14,Marystown,CA,47.1666,-55.1483,52.66,87,9,7.27,clear sky
15,Chuy,UY,-33.6971,-53.4616,54.45,97,11,5.23,few clouds
16,Hobart,AU,-42.8794,147.3294,56.26,59,75,5.99,broken clouds
17,Vardo,NO,70.3705,31.1107,42.12,80,11,16.46,few clouds
18,Tuatapere,NZ,-46.1333,167.6833,53.82,63,69,0.47,broken clouds
19,Punta Arenas,CL,-53.15,-70.9167,39.31,93,20,4.61,few clouds
20,Marzuq,YE,14.4,46.4667,81.86,34,82,2.28,broken clouds
21,Ormara,PK,25.2088,64.6357,81.73,79,4,7.02,clear sky
22,Dumas,US,35.8656,-101.9732,67.42,82,1,6.91,clear sky
23,Northam,GB,51.0333,-4.2167,61.68,96,100,4.43,overcast clouds
24,Morondava,MG,-20.2833,44.2833,69.66,63,48,7.25,scattered clouds
25,Berdigestyakh,RU,62.0989,126.6992,36.9,95,100,13.38,light rain
26,Tawang,IN,27.5833,91.8667,66.51,62,85,4.9,overcast clouds
27,Souillac,MU,-20.5167,57.5167,75.36,79,14,4.76,few clouds
28,Tuktoyaktuk,CA,69.4541,-133.0374,39.16,94,53,9.73,broken clouds
29,Butaritari,KI,3.0707,172.7902,82.51,73,15,11.9,few clouds
30,Georgetown,MY,5.4112,100.3354,87.73,70,20,4.61,few clouds
31,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,81,75,9.22,broken clouds
32,Airai,TL,-8.9266,125.4092,77.99,27,38,7.4,scattered clouds
33,Barrow,US,71.2906,-156.7887,33.82,80,90,8.05,light snow
34,Coihaique,CL,-45.5752,-72.0662,39.15,87,20,4.61,few clouds
35,Ambon,ID,-3.6954,128.1814,80.74,89,75,3.44,moderate rain
36,Puerto Ayora,EC,-0.7393,-90.3518,68.56,93,84,7.0,broken clouds
37,Tiksi,RU,71.6872,128.8694,35.02,74,100,17.16,overcast clouds
38,Stornoway,GB,58.2093,-6.3865,51.93,93,93,1.14,overcast clouds
39,Broome,US,42.2506,-75.833,68.67,79,1,1.01,clear sky
40,Qaanaaq,GL,77.484,-69.3632,9.88,65,59,7.87,broken clouds
41,Cidreira,BR,-30.1811,-50.2056,61.66,95,70,10.71,broken clouds
42,Kahului,US,20.8947,-156.47,80.62,73,40,13.8,scattered clouds
43,Tursunzoda,TJ,38.5144,68.2333,76.08,11,0,4.54,clear sky
44,Ommen,NL,52.5333,6.5,56.91,91,64,1.01,broken clouds
45,Ahipara,NZ,-35.1667,173.1667,57.88,59,16,4.97,few clouds
46,Torbay,CA,47.6666,-52.7314,56.26,88,95,4.0,overcast clouds
47,Busselton,AU,-33.65,115.3333,63.05,69,48,17.27,scattered clouds
48,Navalcarnero,ES,40.2891,-4.012,66.38,100,26,6.64,scattered clouds
49,Port Alfred,ZA,-33.5906,26.891,54.63,65,35,5.59,scattered clouds
50,Hami,CN,42.8,93.45,77.81,22,26,3.94,scattered clouds
51,Malanje,AO,-9.5402,16.341,62.64,83,67,6.73,broken clouds
