City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bethel,US,2021-09-17 20:06:52,41.3712,-73.414,76.19,85,67,1.01
1,Nevyansk,RU,2021-09-17 20:08:18,57.4953,60.2112,36.43,98,100,2.33
2,Hasaki,JP,2021-09-17 20:07:59,35.7333,140.8333,75.6,73,100,24.38
3,Saldanha,ZA,2021-09-17 20:07:11,-33.0117,17.9442,59.27,60,0,15.95
4,Longview,US,2021-09-17 20:08:19,32.5007,-94.7405,88.99,63,90,5.37
5,Georgetown,MY,2021-09-17 20:04:30,5.4112,100.3354,78.89,87,20,0.0
6,Mataura,NZ,2021-09-17 20:07:05,-46.1927,168.8643,35.47,82,17,3.04
7,Cape Town,ZA,2021-09-17 20:07:02,-33.9258,18.4232,57.11,75,0,5.01
8,Pevek,RU,2021-09-17 20:07:21,69.7008,170.3133,32.59,100,100,2.68
9,Rikitea,PF,2021-09-17 20:07:08,-23.1203,-134.9692,70.52,74,72,8.28
10,Hami,CN,2021-09-17 20:07:34,42.8,93.45,73.18,30,95,12.73
11,Namibe,AO,2021-09-17 20:08:19,-15.1961,12.1522,63.12,87,67,6.11
12,Castro,BR,2021-09-17 20:08:19,-24.7911,-50.0119,64.9,85,96,4.41
13,Busselton,AU,2021-09-17 20:07:03,-33.65,115.3333,54.05,82,99,15.84
14,Ushuaia,AR,2021-09-17 20:05:24,-54.8,-68.3,39.94,76,100,1.52
15,East London,ZA,2021-09-17 20:07:04,-33.0153,27.9116,59.31,54,50,4.63
16,Thompson,CA,2021-09-17 20:03:26,55.7435,-97.8558,48.85,54,100,7.14
17,Jaque,PA,2021-09-17 20:08:20,7.5175,-78.1703,84.06,73,62,3.98
18,Sola,VU,2021-09-17 20:07:44,-13.8833,167.55,79.34,79,22,18.12
19,Lavrentiya,RU,2021-09-17 20:08:20,65.5833,-171.0,36.99,77,100,7.54
20,Bilibino,RU,2021-09-17 20:08:21,68.0546,166.4372,35.67,74,100,2.3
21,Yellowknife,CA,2021-09-17 20:04:00,62.456,-114.3525,48.63,51,37,11.88
22,Lebu,CL,2021-09-17 20:07:50,-37.6167,-73.65,54.25,78,97,9.62
23,Hilo,US,2021-09-17 20:06:20,19.7297,-155.09,81.28,83,57,5.99
24,Vila Franca Do Campo,PT,2021-09-17 20:08:21,37.7167,-25.4333,70.21,76,98,7.14
25,Tuktoyaktuk,CA,2021-09-17 20:07:35,69.4541,-133.0374,45.64,75,100,8.23
26,Mayma,RU,2021-09-17 20:08:21,52.0197,85.9114,56.17,44,72,8.46
27,Vaini,TO,2021-09-17 20:07:08,-21.2,-175.2,73.56,100,75,2.3
28,Victoria,HK,2021-09-17 20:07:33,22.2855,114.1577,85.32,85,1,1.01
29,Beringovskiy,RU,2021-09-17 20:08:22,63.05,179.3167,40.66,51,36,8.08
30,Hare Bay,CA,2021-09-17 20:08:22,48.8499,-54.0148,69.3,43,3,7.96
31,Rio Grande,BR,2021-09-17 20:04:25,-32.035,-52.0986,63.95,85,100,14.7
32,Upernavik,GL,2021-09-17 20:07:29,72.7868,-56.1549,29.71,90,100,10.98
33,Poum,NC,2021-09-17 20:08:23,-20.2333,164.0167,69.01,62,6,15.41
34,Sinjar,IQ,2021-09-17 20:08:23,36.3209,41.8754,78.44,33,0,8.19
35,Iqaluit,CA,2021-09-17 20:08:23,63.7506,-68.5145,35.33,93,90,12.66
36,Zabid,YE,2021-09-17 20:08:23,14.1951,43.3152,89.4,63,84,9.86
37,Xining,CN,2021-09-17 20:08:24,36.6167,101.7667,49.1,84,100,6.73
38,Westport,US,2021-09-17 20:08:24,41.1415,-73.3579,77.72,87,59,8.01
39,Hobart,AU,2021-09-17 20:07:25,-42.8794,147.3294,48.25,90,80,1.01
40,Saint-Philippe,RE,2021-09-17 20:08:01,-21.3585,55.7679,69.39,77,4,8.01
41,Nelson Bay,AU,2021-09-17 20:08:24,-32.7167,152.15,60.1,85,62,11.77
42,Tura,IN,2021-09-17 20:08:25,25.5198,90.2201,72.09,97,100,3.27
43,Pozo Colorado,PY,2021-09-17 20:08:25,-23.4923,-58.7972,97.81,26,14,6.26
44,Chapais,CA,2021-09-17 20:08:25,49.7834,-74.8492,73.47,44,100,16.13
45,Merauke,ID,2021-09-17 20:08:26,-8.4667,140.3333,76.33,75,100,15.19
46,Makat,KZ,2021-09-17 20:08:26,47.6469,53.3463,52.07,45,2,7.92
47,Ixtapa,MX,2021-09-17 20:08:09,20.7,-105.2,84.22,82,100,1.99
48,Praia Da Vitoria,PT,2021-09-17 20:07:31,38.7333,-27.0667,68.76,80,97,7.87
49,Khani,GE,2021-09-17 20:08:26,41.9563,42.9566,56.77,97,100,1.95
50,Severo-Kurilsk,RU,2021-09-17 20:07:30,50.6789,156.125,48.27,73,32,7.54
51,Atuona,PF,2021-09-17 20:07:37,-9.8,-139.0333,78.21,68,18,17.45
52,Manokwari,ID,2021-09-17 20:08:27,-0.8667,134.0833,76.77,82,100,3.24
53,Esperance,AU,2021-09-17 20:08:27,-33.8667,121.9,49.12,76,8,15.3
54,Moree,AU,2021-09-17 20:08:27,-29.4667,149.85,55.2,82,11,17.87
55,Jamestown,US,2021-09-17 20:07:28,42.097,-79.2353,83.01,62,19,5.99
56,Waipawa,NZ,2021-09-17 20:08:28,-41.4122,175.5153,43.43,80,98,3.42
57,Los Llanos De Aridane,ES,2021-09-17 20:08:28,28.6585,-17.9182,73.15,69,75,12.66
58,Port Elizabeth,ZA,2021-09-17 20:08:28,-33.918,25.5701,54.1,69,20,3.09
59,Asmar,AF,2021-09-17 20:08:29,35.0333,71.3581,74.93,67,0,1.86
60,Fayaoue,NC,2021-09-17 20:08:29,-20.65,166.5333,70.11,65,60,20.02
61,Havre-Saint-Pierre,CA,2021-09-17 20:08:29,50.2334,-63.5986,58.33,71,9,5.57
62,Punta Arenas,CL,2021-09-17 20:07:07,-53.15,-70.9167,39.99,78,96,2.42
63,Berlevag,NO,2021-09-17 20:08:29,70.8578,29.0864,35.4,75,100,13.15
64,Ribeira Grande,PT,2021-09-17 20:08:30,38.5167,-28.7,70.2,94,75,8.05
65,Sambava,MG,2021-09-17 20:08:30,-14.2667,50.1667,68.95,85,54,3.0
66,Te Anau,NZ,2021-09-17 20:07:38,-45.4167,167.7167,35.04,89,48,0.6
67,Brawley,US,2021-09-17 20:08:30,32.9787,-115.5303,103.48,28,3,4.56
68,Provideniya,RU,2021-09-17 20:07:29,64.3833,-173.3,39.94,74,100,8.61
69,Changping,CN,2021-09-17 20:08:31,40.2186,116.2197,60.44,72,100,3.33
70,Albany,US,2021-09-17 20:03:10,42.6001,-73.9662,75.81,80,68,6.73
71,Klaksvik,FO,2021-09-17 20:06:12,62.2266,-6.589,52.72,94,100,17.47
72,Arraial Do Cabo,BR,2021-09-17 20:07:05,-22.9661,-42.0278,69.42,84,99,14.41
73,Tankara,IN,2021-09-17 20:08:31,22.6667,70.7333,78.19,90,99,11.77
74,Puerto Ayora,EC,2021-09-17 20:07:09,-0.7393,-90.3518,72.55,87,95,8.01
75,Shache,CN,2021-09-17 20:07:54,38.4167,77.2406,71.78,22,0,5.3
76,Diffa,NE,2021-09-17 20:08:31,13.3154,12.6113,88.45,38,97,7.02
77,Pocatello,US,2021-09-17 20:08:32,42.8713,-112.4455,78.67,17,0,5.99
78,Finnsnes,NO,2021-09-17 20:08:32,69.2296,17.9811,41.76,80,15,4.32
79,Grand-Santi,GF,2021-09-17 20:08:32,4.25,-54.3833,79.41,82,98,1.16
80,Portland,US,2021-09-17 20:08:33,45.5234,-122.6762,80.2,33,97,3.0
